Trap Name,QR Code,Trap ID,Date,Lat,Long,Crop,Common Name,Scientific Name,Daily Average Count,Mid Thresh,High Thresh,Incremental Count,Cumulative Count,Actual Count,7 Day Cumulative
GFS_RL_Sharrah Orchards_Hilltown_OFM,TP864499062056337,6210,4/24/2024,39.8942,-77.3617,Apples,Oriental Fruit Moth,Grapholita molesta,1,0.57,1.14,1,1,1,
GFS_RL_Flickinger_Romes_OFM,TP864499062043624,6289,4/27/2024,39.8986,-77.3547,Apples,Oriental Fruit Moth,Grapholita molesta,33,0.57,1.14,66,66,66,
GFS_RL_Flickinger_UpperYorks_OFM,TP864499062052104,6287,4/27/2024,39.8998,-77.3603,Apples,Oriental Fruit Moth,Grapholita molesta,15.5,0.57,1.14,31,31,31,
Peters Aville Back Block OFM,TP862382065561648,4870,3/29/2024,39.9039,-77.3323,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Peters Aville Barn Block OFM,TP862382065584210,4924,3/31/2024,39.9102,-77.3293,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Peters Aville Tower Block OFM,TP862382065582545,4868,3/29/2024,39.9125,-77.3287,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Windside Labor Camp OFM,TP862382065549494,4763,3/30/2024,39.9141,-77.3052,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Windside Below Town OFM 2,TP862382065571696,6140,4/24/2024,39.9163,-77.2925,Apples,Oriental Fruit Moth,Grapholita molesta,59,0.57,1.14,118,118,118,
Andrews OFM,TP862382065571589,5383,4/10/2024,39.9229,-77.827,Apples,Oriental Fruit Moth,Grapholita molesta,0.5,0.57,1.14,1,1,1,
GFS_RL_Wolf Farms_Heckenluber_OFM1,TP864499062059620,5920,4/17/2024,39.9348,-77.2922,Apples,Oriental Fruit Moth,Grapholita molesta,34,0.57,1.14,34,34,34,
PSU_ADAMS_OFMCD_APPLES_6,TP862382065554338,4641,3/8/2024,39.935,-77.2512,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_APPLES_4,TP862382065565722,4637,3/8/2024,39.9366,-77.2542,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_APPLES_5,TP862382065551334,5301,4/8/2024,39.9387,-77.2552,Apples,Oriental Fruit Moth,Grapholita molesta,0.5,0.57,1.14,1,1,1,
Peters Excelscior OFM,TP862382065556002,4863,4/19/2024,39.942,-77.3155,Apples,Oriental Fruit Moth,Grapholita molesta,0.0435,0.57,1.14,1,1,1,
GFS_RL_Forresters_Upper_OFM,TP864499062059778,5988,4/19/2024,39.9465,-77.556,Apples,Oriental Fruit Moth,Grapholita molesta,1.5,0.57,1.14,3,3,3,
Mt Ridge 8G OFM,TP862382065578691,4857,3/30/2024,39.9488,-77.2902,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Mt Ridge 8G OFM,TP862382065578691,4857,4/7/2024,39.9488,-77.2902,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge 8G OFM,TP862382065578691,4857,4/8/2024,39.9488,-77.2902,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_APPLES_1,TP862382065580507,4633,3/11/2024,39.954,-77.3005,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
GFS_RL_Wolf Farms_Behind House_OFM,TP864499062043566,6227,4/25/2024,39.9577,-77.325,Apples,Oriental Fruit Moth,Grapholita molesta,11.5,0.57,1.14,23,23,23,
GFS_RL_Wolf Farms_Trench and Pine_OFM,TP864499062050728,6229,4/25/2024,39.9578,-77.3204,Apples,Oriental Fruit Moth,Grapholita molesta,17.5,0.57,1.14,35,35,35,
Mt Ridge Horseshoe OFM,TP862382065542093,4852,4/17/2024,39.9582,-77.3191,Apples,Oriental Fruit Moth,Grapholita molesta,2.1905,0.57,1.14,46,46,46,
GFS_RL_Forresters_Big Yorks_OFM,TP864499062061758,5981,4/19/2024,39.9642,-77.5474,Apples,Oriental Fruit Moth,Grapholita molesta,17,0.57,1.14,34,34,34,
Mt Ridge Home Gala OFM,TP862382065582925,4850,4/17/2024,39.9651,-77.3136,Apples,Oriental Fruit Moth,Grapholita molesta,0.381,0.57,1.14,8,8,8,
Mt Ridge SAS Jonagold OFM,TP862382065585738,4838,3/31/2024,39.9658,-77.3584,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Mt Ridge SAS Jonagold OFM,TP862382065585738,4838,4/9/2024,39.9658,-77.3584,Apples,Oriental Fruit Moth,Grapholita molesta,0.0833,0.57,1.14,,0,,
Mt Ridge SAS Jonagold OFM,TP862382065585738,4838,4/10/2024,39.9658,-77.3584,Apples,Oriental Fruit Moth,Grapholita molesta,0.0833,0.57,1.14,,0,,
Mt Ridge SAS Jonagold OFM,TP862382065585738,4838,4/11/2024,39.9658,-77.3584,Apples,Oriental Fruit Moth,Grapholita molesta,0.0833,0.57,1.14,,0,,
Mt Ridge SAS Jonagold OFM,TP862382065585738,4838,4/12/2024,39.9658,-77.3584,Apples,Oriental Fruit Moth,Grapholita molesta,0.0833,0.57,1.14,,0,,
Mt Ridge SAS Jonagold OFM,TP862382065585738,4838,4/13/2024,39.9658,-77.3584,Apples,Oriental Fruit Moth,Grapholita molesta,0.0833,0.57,1.14,1,1,1,
Mt Ridge SAS PINK Lady OFM,TP862382065545476,4840,4/10/2024,39.9685,-77.3573,Apples,Oriental Fruit Moth,Grapholita molesta,0.0714,0.57,1.14,1,1,1,
GFS_RL_Forresters_Left_OFM,TP864499062063481,5995,4/25/2024,39.9689,-77.5429,Apples,Oriental Fruit Moth,Grapholita molesta,4,0.57,1.14,32,32,32,
PSU_ADAMS_OFMCD_APPLES_2,TP862382065541558,4634,3/8/2024,39.9706,-77.3079,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_APPLES_3,TP862382065551201,4635,3/8/2024,39.972,-77.3055,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ADAMS_OFMCD_APPLES_3,TP862382065551201,4635,4/1/2024,39.972,-77.3055,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,1,,
PSU_ADAMS_OFMCD_APPLES_3,TP862382065551201,4635,4/2/2024,39.972,-77.3055,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,1,,
PSU_ADAMS_OFMCD_APPLES_3,TP862382065551201,4635,4/3/2024,39.972,-77.3055,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,1,,
PSU_ADAMS_OFMCD_APPLES_3,TP862382065551201,4635,4/4/2024,39.972,-77.3055,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,1,,
PSU_ADAMS_OFMCD_APPLES_3,TP862382065551201,4635,4/5/2024,39.972,-77.3055,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,1,,
PSU_ADAMS_OFMCD_APPLES_3,TP862382065551201,4635,4/6/2024,39.972,-77.3055,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,1,,
PSU_ADAMS_OFMCD_APPLES_3,TP862382065551201,4635,4/7/2024,39.972,-77.3055,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,1,0,
Mt Ridge McCauslin OFM,TP862382065585316,4848,4/17/2024,39.9751,-77.3181,Apples,Oriental Fruit Moth,Grapholita molesta,0.0952,0.57,1.14,2,2,2,
Garrettson Apple Blossom 2 OFM,TP864499062053151,5260,4/23/2024,39.9771,-77.2517,Apples,Oriental Fruit Moth,Grapholita molesta,0.1667,0.57,1.14,3,3,3,
Mt Ridge Bens OFM 2,TP862382065576950,6145,4/25/2024,39.9782,-77.3276,Apples,Oriental Fruit Moth,Grapholita molesta,4,0.57,1.14,12,12,12,
Garretson Cherry Blossom OFM 2,TP862382065554031,6147,4/24/2024,39.982,-77.2647,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Mt Ridge Rex idared OFM,TP862382065563651,4842,3/29/2024,39.9821,-77.3168,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Mt Ridge Rex Shaffer Side OFM,TP862382065541012,4844,3/29/2024,39.9845,-77.3139,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Garretson Schoolhouse OFM,TP862382065574823,4749,3/22/2024,39.9854,-77.2445,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Garretson Mt Tabor Rome OFM,TP862382065584152,4752,3/22/2024,39.9999,-77.2586,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Garretson Mt Tabor Rome OFM,TP862382065584152,4752,4/3/2024,39.9999,-77.2586,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Garretson Mt Tabor Rome OFM,TP862382065584152,4752,4/4/2024,39.9999,-77.2586,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Garretson Mt Tabor Rome OFM,TP862382065584152,4752,4/5/2024,39.9999,-77.2586,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Garretson Mt Tabor Rome OFM,TP862382065584152,4752,4/6/2024,39.9999,-77.2586,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Garretson Mt Tabor Rome OFM,TP862382065584152,4752,4/7/2024,39.9999,-77.2586,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Garretson Mt Tabor Rome OFM,TP862382065584152,4752,4/8/2024,39.9999,-77.2586,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Garretson Mt Tabor Barn OFM,TP862382065554312,4754,3/22/2024,40.0014,-77.2553,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Mt Ridge PAA Reds OFM,TP862382065584830,4698,3/17/2024,40.0058,-77.2738,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Mt Ridge PAA Reds OFM,TP862382065584830,4698,4/1/2024,40.0058,-77.2738,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Reds OFM,TP862382065584830,4698,4/2/2024,40.0058,-77.2738,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Reds OFM,TP862382065584830,4698,4/3/2024,40.0058,-77.2738,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Reds OFM,TP862382065584830,4698,4/4/2024,40.0058,-77.2738,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Reds OFM,TP862382065584830,4698,4/5/2024,40.0058,-77.2738,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Reds OFM,TP862382065584830,4698,4/6/2024,40.0058,-77.2738,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Reds OFM,TP862382065584830,4698,4/7/2024,40.0058,-77.2738,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Reds OFM,TP862382065584830,4698,4/8/2024,40.0058,-77.2738,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Steve Showers OFM,TP862382065551466,4757,3/22/2024,40.0077,-77.2236,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,3/19/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,4/3/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,4/4/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,4/5/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,4/6/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,4/7/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,0,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,4/8/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,4/16/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0.125,0.57,1.14,1,1,1,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/10/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/11/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/12/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/13/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/14/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/15/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/16/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/17/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/18/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/19/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/20/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/21/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/22/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/23/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/24/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/25/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/26/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/27/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/28/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/29/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/30/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,5,,
Mt Ridge PAA Granny OFM,TP862382065584483,4700,5/31/2024,40.0081,-77.2749,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,5,0,
Niel Starner OFM,TP862382065553678,4702,4/17/2024,40.0093,-77.2769,Apples,Oriental Fruit Moth,Grapholita molesta,0.0909,0.57,1.14,3,3,3,
Peters Pape Top of Hill OFM,TP864499062059398,4942,3/31/2024,40.0287,-77.1521,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Peters Orchard View OFM,TP864499062043400,4941,3/31/2024,40.0372,-77.1689,Apples,Oriental Fruit Moth,Grapholita molesta,0.5,0.57,1.14,1,1,1,
Lerew Upper Farm Pink Lady,TP862382065544958,6810,5/11/2024,40.04,-77.133,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Peters Bin Repair G Gold OFM 2,TP862382065546094,6155,4/25/2024,40.0415,-77.1611,Apples,Oriental Fruit Moth,Grapholita molesta,1.3333,0.57,1.14,4,4,4,
GFS_RL__DS_Apples_OFM,TP864499062064430,6051,4/20/2024,40.0476,-77.0969,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Peters Market Block OFM,TP862382065581752,4936,3/31/2024,40.0477,-77.152,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Lerew Home Farm Fuji,TP862382065549551,6812,5/10/2024,40.0488,-77.1264,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Peters Kennedy OFM,TP862382065548587,4932,4/1/2024,40.0515,-77.1574,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Peters Sowers OFM 2,TP862382065553934,6158,4/24/2024,40.0588,-77.1524,Apples,Oriental Fruit Moth,Grapholita molesta,0.5,0.57,1.14,1,1,1,
Peters Wolf OFM,TP862382065576356,4930,4/1/2024,40.0679,-77.168,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_BEDFORD_OFMCD_APPLES_3,TP862382065549973,4671,3/9/2024,40.0753,-78.646,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Boyers Bruce house ofm,TP862382065555756,6206,4/24/2024,40.0925,-78.6313,Apples,Oriental Fruit Moth,Grapholita molesta,7,0.57,1.14,7,7,7,
Boyers Wes house ofm,TP862382065582826,6201,4/24/2024,40.1024,-78.6208,Apples,Oriental Fruit Moth,Grapholita molesta,3,0.57,1.14,3,3,3,
PSU_BEDFORD_OFMCD_APPLES_1,TP862382065575572,4668,3/9/2024,40.105,-78.6353,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_BEDFORD_OFMCD_APPLES_2,TP862382065555558,4669,3/9/2024,40.1066,-78.6264,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Boyers behind spray shed,TP862382065570516,6200,4/24/2024,40.1089,-78.6347,Apples,Oriental Fruit Moth,Grapholita molesta,154,0.57,1.14,154,154,154,
GFS_RL_Paulus_Big Oak_OFM,TP864499062053326,6086,4/20/2024,40.1234,-76.9653,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
GFS_RL_Paulus_Market_CM,TP864499062051429,6066,5/3/2024,40.1243,-76.9352,Apples,Oriental Fruit Moth,Grapholita molesta,9.7143,0.57,1.14,136,136,136,
GFS_RL_Paulus_Big Trees_OFM,TP864499062059000,6341,4/28/2024,40.1249,-76.9294,Apples,Oriental Fruit Moth,Grapholita molesta,14.5,0.57,1.14,29,29,29,
Weavers ofm l2 honeys,TP862382065554098,6160,5/1/2024,40.213,-75.9022,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_DAUPHIN_OFMCD_APPLES_3,TP862382065552530,4653,3/9/2024,40.2497,-76.7665,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_DAUPHIN_OFMCD_APPLES_2,TP862382065553801,4651,3/8/2024,40.253,-76.7724,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_DAUPHIN_OFMCD_APPLES_1,TP862382065574385,4649,3/8/2024,40.2533,-76.7693,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Frecon gala,TP862382065546797,6152,4/24/2024,40.33,-75.6536,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_BERKS_OFMCD_APPLES_1,TP862382065583287,4643,3/8/2024,40.3336,-75.665,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_BERKES_OFMCD_APPLES_3,TP862382065566134,4645,3/8/2024,40.335,-75.6687,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_BERKS_OFMCD_APPLES_2,TP862382065549338,5298,4/8/2024,40.3356,-75.6696,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Gala 95 v  ofm,TP862382065554049,6149,5/2/2024,40.3764,-75.6986,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Weller farm ofm,TP862382065550641,6151,4/24/2024,40.3769,-75.6724,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ALLEGHENY_OFMCD_APPLES_3,TP862382065551250,5257,4/7/2024,40.6283,-80.0868,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ALLEGHENY_OFMCD_APPLES_2,TP862382065565938,5255,4/7/2024,40.6284,-80.0851,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ALLEGHENY_OFMCD_APPLES_1,TP862382065575606,4662,3/9/2024,40.6286,-80.0833,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_ALLEGHENY_OFMCD_APPLES_1,TP862382065575606,4662,4/6/2024,40.6286,-80.0833,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Scholl Airstrip OFM,TP862382065578543,5846,4/17/2024,40.6301,-75.8193,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
Schawm OFM,TP864499062065163,7555,6/4/2024,40.6541,-76.4898,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,0,0,0,
PSU_CENTRE_OFMCD_APPLES_1,TP862382065548611,6099,5/3/2024,40.7597,-77.8814,Apples,Oriental Fruit Moth,Grapholita molesta,8.2143,0.57,1.14,115,115,115,
PSU_CENTRE_OFMCD_APPLES_1,TP862382065548611,6099,5/17/2024,40.7597,-77.8814,Apples,Oriental Fruit Moth,Grapholita molesta,0.25,0.57,1.14,2,127,127,
PSU_CENTRE_OFMCD_APPLES_1,TP862382065548611,6099,5/28/2024,40.7597,-77.8814,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,131,,
PSU_CENTRE_OFMCD_APPLES_1,TP862382065548611,6099,5/29/2024,40.7597,-77.8814,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,131,,
PSU_CENTRE_OFMCD_APPLES_1,TP862382065548611,6099,5/30/2024,40.7597,-77.8814,Apples,Oriental Fruit Moth,Grapholita molesta,0,0.57,1.14,,131,,
