Trap Name,QR Code,Trap ID,Date,adm2,Lat,Long,Crop,Scientific Name,Daily Average Count,Mid Thresh,High Thresh,Incremental Count,Cumulative Count,Actual Count,7 Day Cumulative
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/6/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,8,0.14,0.43,8,61,49,51
Mt Ridge SAS CM,TP862382065553611,4837,5/3/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,58,0.14,0.43,58,109,58,51
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/8/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,2,0.14,0.43,2,67,65,51
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/27/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,2,0.14,0.43,2,133,50,51
Lewis Bros CM,TP864499062054696,5655,4/30/2024,Berkeley,39.4279,-78.0479,Apples,Cydia pomonella,0,0.14,0.43,0,57,44,50
Lewis Bros CM,TP864499062054696,5655,5/1/2024,Berkeley,39.4279,-78.0479,Apples,Cydia pomonella,6,0.14,0.43,6,63,50,50
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,6/9/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,0,0.14,0.43,0,210,40,50
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/26/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,1,0.14,0.43,1,131,48,50
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/19/2024,Dauphin,40.2536,-76.7684,Apples,Cydia pomonella,0,0.14,0.43,0,60,39,50
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/20/2024,Dauphin,40.2536,-76.7684,Apples,Cydia pomonella,0,0.14,0.43,0,60,37,50
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/21/2024,Dauphin,40.2536,-76.7684,Apples,Cydia pomonella,0,0.14,0.43,0,60,35,50
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/7/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,12,0.14,0.43,12,73,61,49
Mt Ridge Rex Idared CM 2,TP862382065542192,6146,6/3/2024,Adams,39.9818,-77.3167,Apples,Cydia pomonella,0,0.14,0.43,0,148,58,48
Peter Aville Back Block CM,TP862382065587080,4695,6/3/2024,Adams,39.9041,-77.3326,Apples,Cydia pomonella,2,0.14,0.43,2,95,60,47
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/30/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,5,0.14,0.43,5,158,52,47
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/31/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,0,0.14,0.43,0,158,48,47
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,6/10/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,0,0.14,0.43,0,210,39,47
Mt Ridge Home Gala CM,TP862382065546698,4849,6/25/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,0,0.14,0.43,0,146,39,47
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/10/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,,59,,47
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,6/3/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,171,52,47
Lewis Bros CM,TP864499062054696,5655,5/2/2024,Berkeley,39.4279,-78.0479,Apples,Cydia pomonella,3,0.14,0.43,3,66,53,46
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,6/8/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,6,0.14,0.43,6,210,45,46
Mt Ridge Home Gala CM,TP862382065546698,4849,6/3/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,0,0.14,0.43,0,71,40,46
Mt Ridge SAS CM,TP862382065553611,4837,5/2/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,5,0.14,0.43,5,51,51,46
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/18/2024,Dauphin,40.2536,-76.7684,Apples,Cydia pomonella,4,0.14,0.43,4,60,41,46
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/10/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,0,0.14,0.43,0,82,55,45
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,6/11/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,0,0.14,0.43,0,210,38,45
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,6/12/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,7,0.14,0.43,7,217,45,45
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,5/31/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,0,0.14,0.43,0,143,43,45
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,6/1/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,8,0.14,0.43,8,151,51,45
Mt Ridge Rex Idared CM 2,TP862382065542192,6146,6/4/2024,Adams,39.9818,-77.3167,Apples,Cydia pomonella,2,0.14,0.43,2,150,60,45
Garretson Mt Tabor Rome CM,TP862382065557760,4751,6/1/2024,Adams,40,-77.2583,Apples,Cydia pomonella,2,0.14,0.43,2,74,45,45
Kilmer Spray Shed CM,TP864499062059653,5653,7/1/2024,Berkeley,39.4281,-78.0479,Apples,Cydia pomonella,5,0.14,0.43,5,145,27,44
Kilmer Spray Shed CM,TP864499062059653,5653,7/7/2024,Berkeley,39.4281,-78.0479,Apples,Cydia pomonella,7,0.14,0.43,7,169,29,44
Peter Aville Back Block CM,TP862382065587080,4695,6/5/2024,Adams,39.9041,-77.3326,Apples,Cydia pomonella,0,0.14,0.43,0,99,61,44
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,5/5/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,5,0.14,0.43,,44,,44
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,5/6/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,5,0.14,0.43,,44,,44
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,5/10/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,0.75,0.14,0.43,,69,,44
Kilmer Spray Shed CM,TP864499062059653,5653,7/2/2024,Berkeley,39.4281,-78.0479,Apples,Cydia pomonella,0,0.14,0.43,0,145,5,43
Kilmer Spray Shed CM,TP864499062059653,5653,7/3/2024,Berkeley,39.4281,-78.0479,Apples,Cydia pomonella,4,0.14,0.43,4,149,9,43
Harlan Hess Eds Block CM,TP862382065572991,5348,6/5/2024,Franklin,39.8149,-77.5957,Apples,Cydia pomonella,0,0.14,0.43,0,117,40,43
Peter Aville Back Block CM,TP862382065587080,4695,6/4/2024,Adams,39.9041,-77.3326,Apples,Cydia pomonella,4,0.14,0.43,4,99,64,43
Peter Aville Back Block CM,TP862382065587080,4695,6/6/2024,Adams,39.9041,-77.3326,Apples,Cydia pomonella,1,0.14,0.43,1,100,62,43
Peter Aville Back Block CM,TP862382065587080,4695,6/7/2024,Adams,39.9041,-77.3326,Apples,Cydia pomonella,0,0.14,0.43,0,100,60,43
Andrews CM,TP862382065584574,5382,6/2/2024,Franklin,39.9228,-77.827,Apples,Cydia pomonella,0,0.14,0.43,0,107,44,43
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/9/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,8,0.14,0.43,8,82,70,43
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/7/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,20,0.14,0.43,20,65,63,43
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/9/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,0,0.14,0.43,0,67,65,43
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/10/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,0,0.14,0.43,0,67,61,43
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/25/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,9,0.14,0.43,9,130,47,43
Andrews CM,TP862382065584574,5382,5/30/2024,Franklin,39.9228,-77.827,Apples,Cydia pomonella,0,0.14,0.43,0,101,39,42
Andrews CM,TP862382065584574,5382,5/31/2024,Franklin,39.9228,-77.827,Apples,Cydia pomonella,0,0.14,0.43,0,101,38,42
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/4/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,9,0.14,0.43,9,53,53,42
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/29/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,5,0.14,0.43,5,153,47,42
Mt Ridge Home Gala CM,TP862382065546698,4849,6/4/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,3,0.14,0.43,3,74,43,42
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,5/27/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,6,0.14,0.43,,127,,42
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,5/29/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,2,0.14,0.43,,139,,42
Lewis Bros CM,TP864499062054696,5655,5/5/2024,Berkeley,39.4279,-78.0479,Apples,Cydia pomonella,0,0.14,0.43,0,70,52,41
Lewis Bros CM,TP864499062054696,5655,5/6/2024,Berkeley,39.4279,-78.0479,Apples,Cydia pomonella,3,0.14,0.43,3,73,55,41
Kilmer Spray Shed CM,TP864499062059653,5653,7/6/2024,Berkeley,39.4281,-78.0479,Apples,Cydia pomonella,3,0.14,0.43,3,162,22,41
Andrews CM,TP862382065584574,5382,6/11/2024,Franklin,39.9228,-77.827,Apples,Cydia pomonella,3,0.14,0.43,,148,,41
Mt Ridge Home Gala CM,TP862382065546698,4849,6/22/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,0,0.14,0.43,0,132,33,41
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,5/7/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,5,0.14,0.43,,44,,41
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,5/30/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,2,0.14,0.43,4,143,45,41
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/5/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,0,0.14,0.43,0,41,39,41
GFS_RL_Forresters_Left_CM,TP864499062055263,5993,5/6/2024,Franklin,39.9686,-77.5423,Apples,Cydia pomonella,4,0.14,0.43,4,45,43,41
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,7/1/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,264,8,41
Garretson Mt Tabor Rome CM,TP862382065557760,4751,5/31/2024,Adams,40,-77.2583,Apples,Cydia pomonella,4,0.14,0.43,4,72,43,41
Garretson Mt Tabor Rome CM,TP862382065557760,4751,6/2/2024,Adams,40,-77.2583,Apples,Cydia pomonella,8,0.14,0.43,8,82,53,41
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/17/2024,Dauphin,40.2536,-76.7684,Apples,Cydia pomonella,6,0.14,0.43,6,56,37,41
PSU_DAUPHIN_CMDAC_APPLES_1,TP862382065585415,6005,5/22/2024,Dauphin,40.2536,-76.7684,Apples,Cydia pomonella,2,0.14,0.43,2,62,37,41
Lewis Bros CM,TP864499062054696,5655,5/3/2024,Berkeley,39.4279,-78.0479,Apples,Cydia pomonella,0,0.14,0.43,0,66,50,40
Lewis Bros CM,TP864499062054696,5655,5/4/2024,Berkeley,39.4279,-78.0479,Apples,Cydia pomonella,4,0.14,0.43,4,70,54,40
Barr Dads Block CM,TP864499062042345,5327,6/3/2024,Washington,39.6797,-77.5884,Apples,Cydia pomonella,3,0.14,0.43,3,81,12,40
Harlan Hess Eds Block CM,TP862382065572991,5348,6/4/2024,Franklin,39.8149,-77.5957,Apples,Cydia pomonella,3,0.14,0.43,3,117,43,40
Andrews CM,TP862382065584574,5382,5/28/2024,Franklin,39.9228,-77.827,Apples,Cydia pomonella,12,0.14,0.43,12,94,35,40
Mt Ridge 8G CM,TP862382065541202,4855,6/1/2024,Adams,39.9487,-77.2902,Apples,Cydia pomonella,2,0.14,0.43,2,64,42,40
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,6/7/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,6,0.14,0.43,6,204,39,40
Mt Ridge Home Gala CM,TP862382065546698,4849,6/2/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,12,0.14,0.43,12,71,49,40
Mt Ridge Home Gala CM,TP862382065546698,4849,6/20/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,4,0.14,0.43,4,131,32,40
Mt Ridge Home Gala CM,TP862382065546698,4849,6/21/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,1,0.14,0.43,1,132,33,40
Mt Ridge SAS CM,TP862382065553611,4837,5/26/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,21,0.14,0.43,21,214,52,40
Garretson Mt Tabor Rome CM,TP862382065557760,4751,6/3/2024,Adams,40,-77.2583,Apples,Cydia pomonella,7,0.14,0.43,7,89,60,40
Garretson Mt Tabor Rome CM,TP862382065557760,4751,6/4/2024,Adams,40,-77.2583,Apples,Cydia pomonella,0,0.14,0.43,0,89,55,40
Peter Aville Back Block CM,TP862382065587080,4695,6/8/2024,Adams,39.9041,-77.3326,Apples,Cydia pomonella,1,0.14,0.43,1,101,61,39
Mt Ridge 8G CM,TP862382065541202,4855,6/4/2024,Adams,39.9487,-77.2902,Apples,Cydia pomonella,0,0.14,0.43,0,73,45,39
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,6/1/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,2,0.14,0.43,2,160,50,39
Mt Ridge SAS CM,TP862382065553611,4837,5/11/2024,Adams,39.9659,-77.3583,Apples,Cydia pomonella,0,0.14,0.43,0,148,69,39
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/27/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,12,0.14,0.43,12,136,30,39
Kilmer Spray Shed CM,TP864499062059653,5653,5/28/2024,Berkeley,39.4281,-78.0479,Apples,Cydia pomonella,0,0.14,0.43,0,56,5,38
Kilmer Spray Shed CM,TP864499062059653,5653,7/4/2024,Berkeley,39.4281,-78.0479,Apples,Cydia pomonella,5,0.14,0.43,5,154,14,38
Barr Dads Block CM,TP864499062042345,5327,6/2/2024,Washington,39.6797,-77.5884,Apples,Cydia pomonella,6,0.14,0.43,6,78,9,38
Harlan Hess Eds Block CM,TP862382065572991,5348,6/6/2024,Franklin,39.8149,-77.5957,Apples,Cydia pomonella,0,0.14,0.43,0,117,40,38
GFS_RL_Forresters_Upper_CM,TP864499062058127,5987,7/2/2024,Franklin,39.9465,-77.5561,Apples,Cydia pomonella,0,0.14,0.43,0,117,0,38
GFS_RL_Forresters_Upper_CM,TP864499062058127,5987,7/3/2024,Franklin,39.9465,-77.5561,Apples,Cydia pomonella,0,0.14,0.43,0,117,0,38
GFS_RL_Forresters_Upper_CM,TP864499062058127,5987,7/4/2024,Franklin,39.9465,-77.5561,Apples,Cydia pomonella,0,0.14,0.43,0,117,0,38
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/11/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,0,0.14,0.43,0,82,51,38
Mt Ridge Rex Idared CM 2,TP862382065542192,6146,5/27/2024,Adams,39.9818,-77.3167,Apples,Cydia pomonella,3,0.14,0.43,3,103,29,38
Andrews CM,TP862382065584574,5382,6/1/2024,Franklin,39.9228,-77.827,Apples,Cydia pomonella,6,0.14,0.43,6,107,44,37
Mt Ridge Home Gala CM,TP862382065546698,4849,6/19/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,3,0.14,0.43,3,127,28,37
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,6/28/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,255,1,37
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,6/29/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,255,0,37
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,7/2/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,2,0.14,0.43,2,266,10,37
Kilmer Spray Shed CM,TP864499062059653,5653,7/5/2024,Berkeley,39.4281,-78.0479,Apples,Cydia pomonella,5,0.14,0.43,5,159,19,36
Barr Dads Block CM,TP864499062042345,5327,6/6/2024,Washington,39.6797,-77.5884,Apples,Cydia pomonella,7,0.14,0.43,7,99,30,36
Harlan Hess Eds Block CM,TP862382065572991,5348,6/3/2024,Franklin,39.8149,-77.5957,Apples,Cydia pomonella,11,0.14,0.43,11,114,40,36
Peter Aville Back Block CM,TP862382065587080,4695,6/9/2024,Adams,39.9041,-77.3326,Apples,Cydia pomonella,0,0.14,0.43,0,101,61,36
Andrews CM,TP862382065584574,5382,6/10/2024,Franklin,39.9228,-77.827,Apples,Cydia pomonella,5,0.14,0.43,5,148,26,36
GFS_RL_Forrester_Big Yorks_CM,TP864499062063408,5980,5/14/2024,Franklin,39.9642,-77.5475,Apples,Cydia pomonella,0,0.14,0.43,0,97,63,36
Mt Ridge Home Gala CM,TP862382065546698,4849,6/23/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,3,0.14,0.43,3,135,36,36
Mt Ridge Home Gala CM,TP862382065546698,4849,6/24/2024,Adams,39.9649,-77.3134,Apples,Cydia pomonella,11,0.14,0.43,11,146,47,36
Mt Ridge SAS Pink Lady CM,TP862382065552654,4839,5/4/2024,Adams,39.9684,-77.3576,Apples,Cydia pomonella,8,0.14,0.43,8,44,19,36
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/11/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,,59,,36
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/12/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,0,0.14,0.43,0,59,32,36
Mt Ridge Rex Shaffer Side CM,TP862382065585837,4843,5/13/2024,Adams,39.9847,-77.3138,Apples,Cydia pomonella,26,0.14,0.43,26,85,58,36
Garretson School House CM,TP862382065584400,4748,5/15/2024,Adams,39.9855,-77.2447,Apples,Cydia pomonella,1,0.14,0.43,1,62,44,36
PSU_DAUPHIN_CMDAC_APPLES_3,TP862382065579277,6007,5/16/2024,Dauphin,40.2501,-76.7659,Apples,Cydia pomonella,25,0.14,0.43,25,87,55,36
Kitchens Market Block CM,TP864499062060099,5650,5/30/2024,Washington,39.584,-77.9172,Apples,Cydia pomonella,4,0.14,0.43,4,100,15,35
Kitchens Market Block CM,TP864499062060099,5650,6/2/2024,Washington,39.584,-77.9172,Apples,Cydia pomonella,2,0.14,0.43,2,114,29,35
Barr Dads Block CM,TP864499062042345,5327,5/31/2024,Washington,39.6797,-77.5884,Apples,Cydia pomonella,0,0.14,0.43,0,69,0,35
Barr Dads Block CM,TP864499062042345,5327,6/1/2024,Washington,39.6797,-77.5884,Apples,Cydia pomonella,3,0.14,0.43,3,72,3,35
Traceys CM,TP864499062048060,5668,6/2/2024,Franklin,39.7642,-77.6668,Apples,Cydia pomonella,0,0.14,0.43,0,84,30,35
Traceys CM,TP864499062048060,5668,6/3/2024,Franklin,39.7642,-77.6668,Apples,Cydia pomonella,0,0.14,0.43,0,84,28,35
Andrews CM,TP862382065584574,5382,5/27/2024,Franklin,39.9228,-77.827,Apples,Cydia pomonella,5,0.14,0.43,5,82,23,35
